[-1.0492113790549478, -0.89787959358517333]
[2.3012066558389721, 0.89438847587025716]
[0.37217401904566272, 0.57443314924830058]
[3.2665734111364597, 2.6074338688951162]
[-0.93370391632982008, -0.46685462654188054]
[4.5200681577102468, 5.490303081927153]
[-0.62508757198782894, -0.9132972576209949]
[4.2409817719722316, 3.8557323682782711]
[1.0343414991493622, -1.1649945605319063]
[3.9001727052637674, 5.9957570028229714]
[-0.31266147387892068, 0.83771855199412582]
[2.5589860580424801, 3.7247724439792678]
[0.2860071407998081, 1.2003016208079516]
[4.1239436612037892, 4.6359246036864938]
[1.3612985574422825, -0.11568076989410356]
[4.7140515181400842, 3.7608740003951442]
[-0.68109917025103905, -0.95140401652517881]
[4.5203273119766072, 2.8172233256796706]
[-1.6233238308072691, 0.66331980765324028]
[2.8026903405733097, 5.472973089172509]
[-0.69973299945200473, -0.25694976657846424]
[2.8737548740152246, 4.4329894325700518]
[1.9950511377433595, 0.65501730073192921]
[6.8988202965755168, 2.874110334123082]
[1.5316249234300316, 0.30644520574865802]
[6.0713671535742897, 3.185665126483221]
[-0.99481796812081913, 1.0068857129461233]
[4.1151200957155014, 4.3513272091406376]
[1.4210610726899371, -1.4082533060169322]
[5.8778365551801519, 3.9518187095108912]
[-1.1316956736422614, 0.63293915620695718]
[2.556229066903196, 3.8117794962018037]
[-0.042196769484530952, 0.26857751079625342]
[1.7717524487070073, 4.1059140858175756]
[-1.2172444805660503, 0.83844286590892436]
[4.7185938711448863, 5.3261629519011793]
[0.050030780117607539, -1.7428559561789421]
[3.2811378255233734, 3.297948167981029]
[2.4204294056107165, -0.55975917892883131]
[4.1217146065911843, 2.9134460472400754]
[-0.41599120230311115, 0.48536006843781992]
[3.2541374640649181, 4.528436125771794]
[-0.12098544357959397, 0.9979460647254087]
[3.8316625641992075, 4.9915270386922925]
[-0.77854066642388475, 0.2513186762671894]
[3.6498204641311092, 3.2076486637753825]
[-0.97786747748122782, 0.0011650217702861229]
[5.1140766401426205, 3.9579062209647291]
